epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
53,495.472,0.68571,0.43979,1.01391,0.92812,0.94838,0.96146,0.78551,0.74061,0.49072,0.99406,0.004852,0.004852,0.004852
54,504.211,0.67006,0.42926,1.00474,0.95166,0.96157,0.9657,0.80415,0.72018,0.44727,0.9609,0.004753,0.004753,0.004753
55,513.017,0.63706,0.42078,0.99467,0.95613,0.90805,0.95076,0.77741,0.75476,0.52883,0.98421,0.004654,0.004654,0.004654
56,521.796,0.67038,0.4432,1.02201,0.94645,0.94271,0.95873,0.79462,0.7155,0.43976,0.96642,0.004555,0.004555,0.004555
57,530.546,0.63924,0.42852,0.99517,0.90631,0.88574,0.94034,0.77796,0.72304,0.54485,0.96559,0.004456,0.004456,0.004456
58,539.349,0.64715,0.42408,0.99548,0.94495,0.96086,0.96749,0.8054,0.69523,0.41,0.9608,0.004357,0.004357,0.004357
59,548.192,0.63993,0.41503,1.00215,0.96787,0.95007,0.96626,0.80406,0.71097,0.42311,0.97817,0.004258,0.004258,0.004258
60,556.925,0.64351,0.41138,0.99852,0.96114,0.95296,0.96836,0.80792,0.7072,0.41254,0.96276,0.004159,0.004159,0.004159
61,565.714,0.64943,0.41281,1.01129,0.9198,0.94671,0.96512,0.80001,0.72339,0.4323,0.97347,0.00406,0.00406,0.00406
62,574.475,0.62928,0.39591,0.99512,0.94414,0.96177,0.96702,0.81166,0.70391,0.39462,0.96035,0.003961,0.003961,0.003961
63,583.295,0.61992,0.3942,0.99065,0.94223,0.97453,0.96308,0.80775,0.72316,0.40494,0.96408,0.003862,0.003862,0.003862
64,592.064,0.61976,0.39212,0.98525,0.95681,0.9605,0.97359,0.83034,0.69451,0.39868,0.95012,0.003763,0.003763,0.003763
65,600.78,0.62521,0.39391,0.98233,0.96319,0.95409,0.97261,0.83341,0.69548,0.42331,0.94244,0.003664,0.003664,0.003664
66,609.601,0.60224,0.38524,0.97341,0.96788,0.95449,0.9697,0.81935,0.71143,0.39973,0.94895,0.003565,0.003565,0.003565
67,618.331,0.59937,0.39132,0.97896,0.962,0.96661,0.9735,0.83117,0.67753,0.38179,0.94047,0.003466,0.003466,0.003466
68,627.075,0.60545,0.37739,0.97236,0.97135,0.95455,0.97721,0.8401,0.65556,0.37292,0.92849,0.003367,0.003367,0.003367
69,635.838,0.60774,0.385,0.9858,0.97567,0.92519,0.97083,0.82063,0.68866,0.42317,0.95572,0.003268,0.003268,0.003268
70,644.625,0.59315,0.37751,0.98664,0.95436,0.95081,0.96692,0.82059,0.67501,0.44467,0.93459,0.003169,0.003169,0.003169
71,653.382,0.61005,0.38299,0.97783,0.96222,0.93036,0.97229,0.81949,0.69781,0.40426,0.95603,0.00307,0.00307,0.00307
72,662.142,0.60577,0.38431,0.97443,0.96672,0.95808,0.98088,0.83547,0.66249,0.36342,0.93489,0.002971,0.002971,0.002971
73,670.928,0.59628,0.37991,0.97038,0.97356,0.93169,0.96098,0.82183,0.66659,0.42761,0.93188,0.002872,0.002872,0.002872
74,679.628,0.60264,0.38032,0.9777,0.95628,0.96202,0.96859,0.82941,0.65965,0.35354,0.93601,0.002773,0.002773,0.002773
75,688.407,0.60259,0.37917,0.97823,0.96975,0.94799,0.97361,0.82721,0.67595,0.39134,0.95251,0.002674,0.002674,0.002674
76,697.537,0.59377,0.36801,0.97257,0.97422,0.96535,0.97557,0.83254,0.67308,0.35866,0.9465,0.002575,0.002575,0.002575
77,706.272,0.58974,0.36719,0.97877,0.96715,0.97266,0.97597,0.83142,0.68158,0.36876,0.94211,0.002476,0.002476,0.002476
78,715.079,0.55803,0.35336,0.96376,0.97883,0.95537,0.97347,0.83068,0.67335,0.39524,0.93657,0.002377,0.002377,0.002377
79,723.799,0.58057,0.3469,0.95803,0.97627,0.96708,0.98034,0.83315,0.67958,0.37223,0.93391,0.002278,0.002278,0.002278
80,732.473,0.5439,0.33311,0.95632,0.97377,0.95465,0.97684,0.83056,0.68306,0.36039,0.93658,0.002179,0.002179,0.002179
81,741.131,0.54122,0.34033,0.95121,0.96572,0.9616,0.97194,0.83499,0.67541,0.36993,0.94396,0.00208,0.00208,0.00208
82,749.826,0.56144,0.35171,0.95974,0.96554,0.96236,0.97937,0.84084,0.67059,0.37241,0.94271,0.001981,0.001981,0.001981
83,758.531,0.53818,0.3372,0.95296,0.9629,0.97581,0.98201,0.83941,0.67416,0.33745,0.93677,0.001882,0.001882,0.001882
84,767.248,0.54911,0.3419,0.96144,0.97034,0.95816,0.97373,0.82887,0.67182,0.36061,0.93725,0.001783,0.001783,0.001783
85,775.878,0.51267,0.32595,0.93918,0.96131,0.97166,0.97767,0.83698,0.67011,0.3396,0.93946,0.001684,0.001684,0.001684
86,784.682,0.55446,0.34016,0.95467,0.95648,0.96863,0.97641,0.83421,0.66486,0.34542,0.93194,0.001585,0.001585,0.001585
87,793.383,0.52776,0.32537,0.94574,0.9645,0.96399,0.97421,0.83597,0.66554,0.34739,0.93716,0.001486,0.001486,0.001486
88,802.119,0.53972,0.32061,0.95192,0.96039,0.96369,0.97081,0.83987,0.6658,0.35756,0.93631,0.001387,0.001387,0.001387
89,810.844,0.51261,0.31744,0.94434,0.96586,0.95543,0.974,0.83597,0.67321,0.35995,0.93905,0.001288,0.001288,0.001288
90,819.629,0.52932,0.32364,0.95199,0.96023,0.95863,0.97855,0.83994,0.65849,0.3443,0.92633,0.001189,0.001189,0.001189
91,848.454,0.45484,0.26963,0.87811,0.96613,0.96578,0.97629,0.8383,0.67094,0.35407,0.93751,0.00109,0.00109,0.00109
92,857.194,0.449,0.25952,0.87464,0.97672,0.95808,0.97491,0.83692,0.67489,0.35752,0.93908,0.000991,0.000991,0.000991
93,865.901,0.44031,0.25417,0.87371,0.97666,0.95722,0.97473,0.83531,0.67213,0.35647,0.93986,0.000892,0.000892,0.000892
94,874.579,0.44095,0.25069,0.86696,0.97315,0.97161,0.97644,0.84252,0.66234,0.34383,0.93927,0.000793,0.000793,0.000793
95,883.238,0.43292,0.2461,0.87252,0.96828,0.97859,0.97742,0.84062,0.66852,0.34575,0.94135,0.000694,0.000694,0.000694
96,892.021,0.43221,0.24379,0.86149,0.97275,0.96957,0.98011,0.83728,0.66565,0.34517,0.94213,0.000595,0.000595,0.000595
97,900.682,0.4247,0.24123,0.86651,0.97096,0.96978,0.97919,0.84496,0.65655,0.33552,0.93659,0.000496,0.000496,0.000496
98,909.436,0.4141,0.23635,0.85991,0.97145,0.9693,0.97785,0.84662,0.66017,0.33816,0.93661,0.000397,0.000397,0.000397
99,918.228,0.42766,0.2361,0.85459,0.97079,0.96907,0.97709,0.84819,0.65905,0.33835,0.93474,0.000298,0.000298,0.000298
100,927.085,0.41856,0.22975,0.85916,0.96997,0.96914,0.97629,0.84907,0.65049,0.33425,0.931,0.000199,0.000199,0.000199
