epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1381,1.09327,2.5968,1.32392,0.69211,0.52193,0.54345,0.38094,1.11887,1.61981,1.38148,0.0708571,0.0032381,0.0032381
2,38.3491,0.90897,1.04496,1.15475,0.69102,0.64403,0.60534,0.4561,0.97832,1.60554,1.20316,0.0407921,0.00650637,0.00650637
3,47.6415,0.92041,1.01485,1.13257,0.67638,0.53349,0.60523,0.44663,1.06443,1.87812,1.27679,0.010661,0.00970865,0.00970865
4,56.6676,0.8862,1.02369,1.11219,0.77183,0.55098,0.58732,0.44027,1.11679,1.84587,1.33582,0.009703,0.009703,0.009703
5,65.7675,0.91932,0.86374,1.13997,0.4692,0.5391,0.49269,0.31956,1.34043,2.13841,1.67568,0.009604,0.009604,0.009604
6,74.8348,0.92686,0.85082,1.14037,0.71435,0.55092,0.63751,0.43727,1.1687,1.76514,1.44049,0.009505,0.009505,0.009505
7,84.0028,0.94474,0.82376,1.16653,0.79441,0.50451,0.59398,0.4032,1.28349,1.82983,1.60019,0.009406,0.009406,0.009406
8,93.0324,0.92465,0.79452,1.13957,0.69445,0.5834,0.61187,0.41347,1.2247,1.75389,1.60145,0.009307,0.009307,0.009307
9,102.069,0.92976,0.74051,1.14625,0.67364,0.71138,0.6849,0.47828,1.05689,1.26116,1.29732,0.009208,0.009208,0.009208
10,111.044,0.91299,0.76723,1.13488,0.69488,0.79239,0.76568,0.54091,1.09323,1.14478,1.3941,0.009109,0.009109,0.009109
11,120.015,0.92528,0.72807,1.14046,0.83188,0.46783,0.57901,0.39954,1.29659,2.00951,1.47759,0.00901,0.00901,0.00901
12,128.981,0.9094,0.72391,1.12092,0.67572,0.60479,0.65456,0.45121,1.24957,1.72758,1.4183,0.008911,0.008911,0.008911
13,137.927,0.89069,0.70946,1.12904,0.80758,0.73246,0.77122,0.54824,1.04334,1.07148,1.21117,0.008812,0.008812,0.008812
14,146.868,0.88787,0.70395,1.11342,0.81009,0.82451,0.85963,0.62411,0.96146,0.84535,1.17628,0.008713,0.008713,0.008713
15,155.922,0.84332,0.65655,1.10659,0.78086,0.51061,0.57247,0.40533,1.25653,2.21876,1.52063,0.008614,0.008614,0.008614
16,164.964,0.85995,0.6821,1.12458,0.90582,0.89227,0.9322,0.71325,0.85638,0.70416,1.09099,0.008515,0.008515,0.008515
17,174.022,0.85957,0.66815,1.11345,0.82406,0.69046,0.72981,0.52164,1.10284,1.29463,1.29457,0.008416,0.008416,0.008416
18,183.092,0.87603,0.6831,1.11984,0.71396,0.72213,0.7324,0.54922,1.04587,1.29218,1.23873,0.008317,0.008317,0.008317
19,192.066,0.87812,0.66604,1.10792,0.84605,0.89192,0.91326,0.70919,0.82485,0.66768,1.05729,0.008218,0.008218,0.008218
20,201.125,0.84451,0.6312,1.09647,0.88902,0.90285,0.93471,0.71995,0.84591,0.6563,1.08751,0.008119,0.008119,0.008119
21,210.084,0.84975,0.63519,1.11147,0.90677,0.88119,0.94066,0.72175,0.85683,0.61771,1.08235,0.00802,0.00802,0.00802
22,219.15,0.82211,0.61471,1.09293,0.89888,0.89512,0.93275,0.72976,0.83324,0.6258,1.06298,0.007921,0.007921,0.007921
23,228.138,0.82309,0.60638,1.08343,0.77078,0.49145,0.511,0.38152,1.04991,2.04594,1.33155,0.007822,0.007822,0.007822
24,237.109,0.79649,0.59143,1.0734,0.86401,0.69437,0.82183,0.63102,0.92928,0.9825,1.14523,0.007723,0.007723,0.007723
25,246.029,0.80729,0.58137,1.08411,0.89615,0.92518,0.94067,0.75432,0.78371,0.59524,1.04548,0.007624,0.007624,0.007624
26,254.984,0.80459,0.58562,1.08363,0.8475,0.90193,0.92527,0.71481,0.8634,0.63256,1.11964,0.007525,0.007525,0.007525
27,264.004,0.80606,0.57417,1.07349,0.91911,0.95073,0.96093,0.77894,0.77234,0.53981,1.00728,0.007426,0.007426,0.007426
28,272.978,0.78946,0.55971,1.06647,0.91993,0.92876,0.95919,0.76036,0.77381,0.57276,1.02622,0.007327,0.007327,0.007327
29,282.079,0.78301,0.55353,1.06542,0.93592,0.93677,0.96314,0.77142,0.78336,0.50152,1.01614,0.007228,0.007228,0.007228
30,291.036,0.77114,0.56112,1.0592,0.85482,0.85851,0.89923,0.72671,0.80274,0.70111,1.02391,0.007129,0.007129,0.007129
31,300.073,0.76901,0.56061,1.06307,0.84989,0.83539,0.86674,0.68084,0.79791,0.83499,1.01703,0.00703,0.00703,0.00703
32,309.031,0.74284,0.54604,1.05656,0.91579,0.88763,0.9361,0.74409,0.81625,0.55955,1.07427,0.006931,0.006931,0.006931
33,317.942,0.75223,0.53148,1.07102,0.93209,0.92115,0.95245,0.76933,0.76621,0.49341,1.00335,0.006832,0.006832,0.006832
34,326.935,0.75998,0.51111,1.0517,0.94253,0.94427,0.95864,0.77561,0.77334,0.48941,1.01795,0.006733,0.006733,0.006733
35,335.94,0.74953,0.52547,1.04957,0.9529,0.91689,0.95533,0.76893,0.80598,0.54652,1.03589,0.006634,0.006634,0.006634
36,344.893,0.75447,0.53558,1.05991,0.89047,0.89046,0.924,0.72625,0.81054,0.64573,1.03836,0.006535,0.006535,0.006535
37,353.78,0.77783,0.53874,1.06489,0.91569,0.92843,0.95806,0.77338,0.76944,0.52302,1.02102,0.006436,0.006436,0.006436
38,362.682,0.75626,0.51853,1.05033,0.86368,0.73447,0.80061,0.63095,0.88712,1.03643,1.0944,0.006337,0.006337,0.006337
39,371.655,0.73283,0.50468,1.04831,0.90783,0.82723,0.91668,0.73267,0.80163,0.6967,1.02047,0.006238,0.006238,0.006238
40,380.632,0.75007,0.50829,1.04922,0.90884,0.86233,0.91296,0.74122,0.7769,0.67102,1.01127,0.006139,0.006139,0.006139
41,389.645,0.72408,0.50241,1.04741,0.95289,0.89052,0.94787,0.77865,0.74341,0.5087,1.01598,0.00604,0.00604,0.00604
42,398.591,0.7368,0.5031,1.03689,0.94219,0.94069,0.96398,0.78925,0.71915,0.47573,0.99447,0.005941,0.005941,0.005941
43,407.793,0.7184,0.49333,1.02765,0.95815,0.92787,0.96223,0.78563,0.72892,0.47639,0.98819,0.005842,0.005842,0.005842
44,416.563,0.68856,0.47006,1.02324,0.96273,0.96137,0.97111,0.80469,0.70445,0.43977,0.99249,0.005743,0.005743,0.005743
45,425.409,0.70446,0.47418,1.0221,0.95233,0.9486,0.96588,0.78726,0.72629,0.43833,0.98296,0.005644,0.005644,0.005644
46,434.102,0.70701,0.48416,1.03302,0.94145,0.9329,0.9536,0.77507,0.75795,0.49792,1.01069,0.005545,0.005545,0.005545
47,442.951,0.7169,0.48364,1.04187,0.97405,0.92705,0.96034,0.78216,0.75821,0.49788,1.01353,0.005446,0.005446,0.005446
48,451.719,0.70162,0.46681,1.05075,0.93222,0.94756,0.96887,0.77701,0.78157,0.47073,1.01473,0.005347,0.005347,0.005347
49,460.467,0.69742,0.46727,1.01759,0.94106,0.95781,0.96916,0.79051,0.73051,0.44266,0.99007,0.005248,0.005248,0.005248
50,469.291,0.67823,0.45367,1.01884,0.95002,0.94061,0.96261,0.78403,0.72816,0.47262,0.98183,0.005149,0.005149,0.005149
51,478.041,0.69378,0.45959,1.0141,0.94425,0.96783,0.96576,0.80499,0.71442,0.44026,0.96613,0.00505,0.00505,0.00505
52,486.754,0.65495,0.43878,1.00266,0.93731,0.91163,0.94506,0.77525,0.74666,0.51681,0.98266,0.004951,0.004951,0.004951
