epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,257.535,0.82298,0.71581,1.1814,0.90169,0.81092,0.91702,0.65152,0.999,0.90753,1.35434,0.005743,0.005743,0.005743
45,262.979,0.80882,0.71926,1.16835,0.91525,0.87191,0.93195,0.67214,0.97112,0.73133,1.32291,0.005644,0.005644,0.005644
46,268.454,0.79994,0.74292,1.16912,0.94237,0.86366,0.93887,0.68852,0.94856,0.67666,1.35242,0.005545,0.005545,0.005545
47,273.937,0.78645,0.68424,1.16064,0.87894,0.88587,0.92265,0.68217,0.95473,0.7532,1.31629,0.005446,0.005446,0.005446
48,279.48,0.79354,0.70411,1.16275,0.8959,0.88905,0.93951,0.699,0.94286,0.68642,1.31459,0.005347,0.005347,0.005347
49,284.971,0.80037,0.70507,1.15702,0.92206,0.88623,0.92633,0.66625,1.01881,0.73855,1.4217,0.005248,0.005248,0.005248
50,290.407,0.77165,0.70931,1.15645,0.8997,0.88143,0.92554,0.69471,0.92973,0.70342,1.2948,0.005149,0.005149,0.005149
51,295.863,0.7648,0.67564,1.12475,0.90847,0.77131,0.8871,0.67352,0.95911,0.84767,1.31876,0.00505,0.00505,0.00505
52,301.335,0.75574,0.65597,1.12196,0.92618,0.85369,0.90849,0.69331,0.95214,0.71661,1.33551,0.004951,0.004951,0.004951
53,306.865,0.76286,0.66073,1.12992,0.89356,0.89637,0.9237,0.69841,0.90447,0.71711,1.2578,0.004852,0.004852,0.004852
54,312.403,0.77202,0.66455,1.12908,0.91274,0.91451,0.93892,0.71422,0.91196,0.67677,1.26882,0.004753,0.004753,0.004753
55,318.066,0.76906,0.63796,1.13168,0.94672,0.86465,0.93415,0.6975,0.94088,0.71538,1.30229,0.004654,0.004654,0.004654
56,323.618,0.73982,0.63467,1.13146,0.90573,0.90755,0.92553,0.71433,0.88713,0.65175,1.24738,0.004555,0.004555,0.004555
57,329.217,0.75085,0.64457,1.12284,0.91319,0.90915,0.94384,0.72565,0.88964,0.66624,1.23232,0.004456,0.004456,0.004456
58,334.767,0.73097,0.63576,1.12297,0.92327,0.90839,0.94747,0.71006,0.91806,0.66424,1.25562,0.004357,0.004357,0.004357
59,340.322,0.72276,0.62614,1.12133,0.91177,0.85397,0.92116,0.67766,0.99092,0.71688,1.34466,0.004258,0.004258,0.004258
60,345.877,0.74368,0.63095,1.12204,0.93541,0.90729,0.94887,0.72512,0.87196,0.64217,1.21379,0.004159,0.004159,0.004159
61,351.472,0.72233,0.62485,1.12484,0.94014,0.86964,0.92096,0.70678,0.90488,0.64727,1.24996,0.00406,0.00406,0.00406
62,357.031,0.72115,0.60969,1.10672,0.93518,0.87136,0.92296,0.71473,0.89675,0.70511,1.25481,0.003961,0.003961,0.003961
63,362.64,0.71667,0.59383,1.10603,0.86793,0.83373,0.87909,0.65777,0.99577,0.80189,1.33634,0.003862,0.003862,0.003862
64,368.203,0.72347,0.59551,1.09506,0.92777,0.88394,0.91229,0.70192,0.89079,0.68189,1.26272,0.003763,0.003763,0.003763
65,373.602,0.71631,0.5943,1.08669,0.918,0.9174,0.93314,0.72717,0.85756,0.64865,1.23382,0.003664,0.003664,0.003664
66,379.3,0.70052,0.58128,1.08812,0.94254,0.91235,0.93372,0.7255,0.86039,0.62299,1.23965,0.003565,0.003565,0.003565
67,385.077,0.70795,0.58574,1.09073,0.92043,0.92295,0.93734,0.70898,0.90285,0.65713,1.29098,0.003466,0.003466,0.003466
68,390.917,0.68242,0.59166,1.08708,0.93495,0.90298,0.93835,0.72114,0.86891,0.63653,1.24662,0.003367,0.003367,0.003367
69,396.695,0.67516,0.57117,1.08662,0.87997,0.91146,0.92845,0.71571,0.85513,0.64623,1.21133,0.003268,0.003268,0.003268
