class,precision,recall,mAP@0.5,mAP@0.5:0.95
projector,1.0,0.9444,0.972,0.9398
whiteboard,1.0,1.0,0.995,0.9724
fire_extinguisher,1.0,1.0,0.995,0.8706
door_sign,0.9697,0.9143,0.9548,0.7403
