epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.924,1.03018,3.37722,1.26711,0.00306,0.71668,0.2817,0.19464,0.85498,3.2676,1.09985,0.0708571,0.0032381,0.0032381
2,31.6193,0.95929,2.41627,1.23746,0.86446,0.14287,0.35106,0.22811,1.05447,2.94141,1.19437,0.0407921,0.00650637,0.00650637
3,38.3728,1.01348,1.95361,1.25829,0.80643,0.50338,0.63428,0.41097,1.1812,2.05448,1.35133,0.010661,0.00970865,0.00970865
4,45.5383,1.04782,1.68042,1.26128,0.60918,0.69546,0.66424,0.42856,1.17221,3.03745,1.45857,0.009703,0.009703,0.009703
5,52.3663,1.05083,1.62866,1.28714,0.51921,0.47484,0.51309,0.33553,1.31621,2.49413,1.61523,0.009604,0.009604,0.009604
6,59.0001,0.98835,1.49481,1.21952,0.80173,0.60437,0.71604,0.47769,1.13253,1.88991,1.46873,0.009505,0.009505,0.009505
7,65.7435,0.99,1.40147,1.23529,0.78798,0.5684,0.66397,0.46177,1.18504,1.86226,1.42514,0.009406,0.009406,0.009406
8,72.5504,0.98761,1.30024,1.21107,0.63484,0.42878,0.46731,0.30993,1.4422,2.64458,1.66225,0.009307,0.009307,0.009307
9,79.1425,0.96922,1.20328,1.2044,0.66843,0.61919,0.67531,0.45376,1.16454,1.6978,1.40151,0.009208,0.009208,0.009208
10,85.8091,0.96547,1.17885,1.20415,0.64134,0.49011,0.5899,0.39613,1.28879,1.83737,1.4679,0.009109,0.009109,0.009109
11,92.2285,0.99206,1.1806,1.22006,0.85979,0.78227,0.84716,0.61039,1.01296,1.17375,1.27102,0.00901,0.00901,0.00901
12,98.7153,0.96379,1.11917,1.1943,0.80887,0.81427,0.87884,0.66388,0.91926,1.23256,1.19109,0.008911,0.008911,0.008911
13,105.492,0.95711,1.06771,1.19779,0.84986,0.77831,0.84038,0.61393,0.95569,1.30018,1.22873,0.008812,0.008812,0.008812
14,112.034,0.9392,1.02672,1.18146,0.82614,0.80257,0.83936,0.63743,0.86514,1.04438,1.13031,0.008713,0.008713,0.008713
15,118.591,0.89837,0.96137,1.15455,0.84269,0.865,0.90559,0.67466,0.89798,0.95698,1.20707,0.008614,0.008614,0.008614
16,125.037,0.90214,0.95074,1.16566,0.78505,0.89357,0.89213,0.65238,0.90472,1.08918,1.15682,0.008515,0.008515,0.008515
17,131.572,0.89528,0.93434,1.14638,0.80104,0.63122,0.70748,0.4929,1.07384,1.48291,1.34412,0.008416,0.008416,0.008416
18,138.448,0.909,0.93579,1.16255,0.77237,0.72784,0.75787,0.53505,1.03501,1.29709,1.32353,0.008317,0.008317,0.008317
19,144.941,0.91051,0.91175,1.15825,0.86572,0.90715,0.91789,0.69661,0.8773,0.88525,1.15133,0.008218,0.008218,0.008218
20,151.3,0.871,0.84989,1.12444,0.86641,0.88806,0.9268,0.69373,0.86045,0.83629,1.13192,0.008119,0.008119,0.008119
21,157.889,0.88013,0.8285,1.13771,0.77903,0.53762,0.53,0.383,1.05454,1.88158,1.28264,0.00802,0.00802,0.00802
22,164.708,0.84126,0.81147,1.12468,0.86918,0.90202,0.91309,0.68005,0.85799,0.8003,1.09403,0.007921,0.007921,0.007921
23,171.476,0.85528,0.78337,1.12123,0.81269,0.65368,0.74363,0.55657,0.90697,1.2018,1.13523,0.007822,0.007822,0.007822
24,177.862,0.83284,0.75695,1.10956,0.89511,0.83795,0.91206,0.71519,0.7998,0.78818,1.06341,0.007723,0.007723,0.007723
25,184.42,0.83285,0.75655,1.10438,0.89079,0.86858,0.91375,0.70682,0.82851,0.81137,1.11029,0.007624,0.007624,0.007624
26,190.819,0.84048,0.74342,1.10894,0.92981,0.50623,0.59081,0.42645,1.15692,1.71044,1.4266,0.007525,0.007525,0.007525
27,197.207,0.82015,0.73943,1.1078,0.82056,0.8775,0.88665,0.69404,0.81826,0.87605,1.0733,0.007426,0.007426,0.007426
28,203.583,0.82669,0.71722,1.10522,0.85119,0.85804,0.92851,0.72268,0.84954,0.88476,1.10365,0.007327,0.007327,0.007327
29,209.973,0.80143,0.71363,1.08903,0.85086,0.8166,0.85741,0.64547,0.87118,0.93875,1.1351,0.007228,0.007228,0.007228
30,216.36,0.79145,0.7085,1.09159,0.83583,0.71448,0.74835,0.51594,1.10525,1.28954,1.36607,0.007129,0.007129,0.007129
31,222.926,0.80261,0.70711,1.09969,0.90834,0.92294,0.93015,0.73791,0.79341,0.67362,1.07373,0.00703,0.00703,0.00703
